rank,country_full,confederation,total_points,rank_date
1,Brésil,CONMEBOL,1841,2023-01-09
136,Salomon,OFC,1096,2023-01-09
137,Rwanda,CAF,1094,2023-01-09
138,Éthiopie,CAF,1091,2023-01-09
139,Suriname,CONCACAF,1077,2023-01-09
140,St. Kitts/Nevis,CONCACAF,1077,2023-01-09
141,Burundi,CAF,1075,2023-01-09
142,Nicaragua,CONCACAF,1072,2023-01-09
143,Eswatini,CAF,1071,2023-01-09
144,Lituanie,UEFA,1069,2023-01-09
145,Malaisie,AFC,1067,2023-01-09
135,Turkménistan,AFC,1100,2023-01-09
146,Hong Kong,AFC,1062,2023-01-09
148,Koweït,AFC,1057,2023-01-09
149,Botswana,CAF,1054,2023-01-09
150,Libéria,CAF,1050,2023-01-09
151,Indonésie,AFC,1034,2023-01-09
152,R. dominicaine,CONCACAF,1032,2023-01-09
153,Andorre,UEFA,1031,2023-01-09
154,Yémen,AFC,1024,2023-01-09
155,Afghanistan,AFC,1023,2023-01-09
156,Maldives,AFC,1021,2023-01-09
157,Taipei Chinois,AFC,1021,2023-01-09
147,Lesotho,CAF,1061,2023-01-09
134,Philippines,AFC,1113,2023-01-09
133,Lettonie,UEFA,1117,2023-01-09
132,Centrafrique,CAF,1117,2023-01-09
109,Estonie,UEFA,1186,2023-01-09
110,Chypre,UEFA,1185,2023-01-09
111,Thaïlande,AFC,1173,2023-01-09
112,Corée du Nord,AFC,1170,2023-01-09
113,Namibie,CAF,1164,2023-01-09
114,Mozambique,CAF,1164,2023-01-09
115,Kazakhstan,UEFA,1163,2023-01-09
116,Sierra Leone,CAF,1160,2023-01-09
117,Angola,CAF,1159,2023-01-09
118,Guinée-Bissau,CAF,1159,2023-01-09
119,Guatémala,CONCACAF,1158,2023-01-09
120,Libye,CAF,1157,2023-01-09
121,Azerbaïdjan,UEFA,1152,2023-01-09
122,Niger,CAF,1149,2023-01-09
123,Îles Féroé,UEFA,1146,2023-01-09
124,Malawi,CAF,1145,2023-01-09
125,Zimbabwe,CAF,1139,2023-01-09
126,Gambie,CAF,1138,2023-01-09
127,Togo,CAF,1129,2023-01-09
128,Soudan,CAF,1127,2023-01-09
129,Comores,CAF,1123,2023-01-09
130,Tanzanie,CAF,1120,2023-01-09
131,Antigua-et-Bar.,CONCACAF,1117,2023-01-09
159,Myanmar,AFC,1006,2023-01-09
108,Tadjikistan,AFC,1187,2023-01-09
160,Singapour,AFC,1006,2023-01-09
162,Tahiti,OFC,995,2023-01-09
190,Brunei,AFC,898,2023-01-09
191,Samoa,OFC,894,2023-01-09
192,Bangladesh,AFC,884,2023-01-09
193,Djibouti,CAF,875,2023-01-09
194,Îles Caïmans,CONCACAF,866,2023-01-09
195,Pakistan,AFC,865,2023-01-09
196,Tonga,OFC,862,2023-01-09
197,Timor-Leste,AFC,860,2023-01-09
198,Liechtenstein,UEFA,860,2023-01-09
199,Seychelles,CAF,860,2023-01-09
189,Îles Cook,OFC,899,2023-01-09
200,Gibraltar,UEFA,858,2023-01-09
202,Aruba,CONCACAF,855,2023-01-09
203,Bahamas,CONCACAF,855,2023-01-09
204,Somalie,CAF,855,2023-01-09
205,Guam,AFC,838,2023-01-09
206,Turques-Caïques,CONCACAF,832,2023-01-09
207,Sri Lanka,AFC,825,2023-01-09
208,Vierges a.,CONCACAF,824,2023-01-09
209,Vierges b.,CONCACAF,809,2023-01-09
210,Anguilla,CONCACAF,791,2023-01-09
211,Saint-Marin,UEFA,763,2023-01-09
201,Érythrée,CAF,856,2023-01-09
