home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly
Iraq,Yemen,0,-86.0,0.0,0.0,-3.0,-3.0,0.014149659863945573,-26.0,-26.0,0.061224489795918366,0.061224489795918366,0
Saudi Arabia,Oman,1,-26.0,-3.0,-3.0,0.0,0.0,-0.01948051948051948,-86.0,-86.0,-0.01948051948051948,-0.01948051948051948,0
Qatar,United Arab Emirates,1,-10.0,1.0,1.0,1.0,1.0,0.011764705882352941,-63.0,-63.0,0.0,0.0,0
Vietnam,Thailand,1,-15.0,-1.0,-1.0,0.0,0.0,-0.007444622059831011,6.0,6.0,-0.0008221055035396198,-0.0008221055035396198,0
Bahrain,Kuwait,1,-63.0,1.0,1.0,1.0,1.0,0.01904761904761905,-10.0,-10.0,0.007142857142857145,0.007142857142857145,0
Iraq,Qatar,0,8.0,2.5,2.5,-1.5,-1.5,0.021579532814238044,24.0,24.0,0.033209647495361774,0.033209647495361774,0
Bahrain,Oman,1,10.0,-1.0,-1.0,-0.5,-0.5,-0.01020746494884426,2.5,2.5,-0.01197412625984054,-0.01197412625984054,0
Thailand,Vietnam,0,15.0,0.5,0.5,0.0,0.0,0.005479712394285895,-10.5,-10.5,0.0011148815805986367,0.0011148815805986367,0
Iraq,Oman,0,-7.0,1.0,1.0,-0.6666666666666667,-0.6666666666666667,0.013387198986058304,-8.333333333333329,-8.333333333333329,0.004901960784313722,0.004901960784313722,0
Grenada,Barbados,1,7.0,0.0,0.0,0.0,0.0,0.00024374956473292072,-7.0,-7.0,0.00024374956473292072,0.00024374956473292072,1
Grenada,Saint Lucia,0,1.0,-0.6666666666666667,-0.6666666666666667,0.6666666666666667,0.6666666666666667,-0.0036241857051105605,-5.0,-5.0,-0.01332497620539963,-0.01332497620539963,1
Jamaica,Trinidad and Tobago,1,-40.0,-1.0,-1.0,1.0,1.0,-0.015625,40.0,40.0,-0.046875,-0.046875,1
Tahiti,New Caledonia,0,1.0,-2.0,-2.0,2.0,2.0,-0.012345679012345678,-1.0,-1.0,-0.018518518518518517,-0.018518518518518517,1
Grenada,United States,1,160.0,1.0,1.0,0.25,0.25,-0.012863390789812194,146.0,146.0,-0.0220392513968322,-0.0220392513968322,0
Fiji,Solomon Islands,1,27.0,-1.0,-1.0,2.0,2.0,-0.006097560975609756,0.0,0.0,-0.018292682926829267,-0.018292682926829267,1
Slovenia,San Marino,0,-149.0,2.0,2.0,-1.0,-1.0,0.017391304347826087,56.0,56.0,0.02608695652173913,0.02608695652173913,0
Lesotho,Zambia,1,59.0,-2.0,-2.0,2.0,2.0,-0.009044526901669757,-59.0,-59.0,-0.02040816326530612,-0.02040816326530612,0
Malta,Italy,1,159.0,0.0,0.0,0.0,0.0,-0.18461538461538463,60.0,60.0,0.0,0.0,0
Russia,Iraq,0,-31.0,-2.0,-2.0,0.25,0.25,0.006163708086785007,-60.5,-60.5,-0.0010095856524427946,-0.0010095856524427946,1
Kazakhstan,Denmark,0,97.0,-2.0,-2.0,1.0,1.0,-0.03744239631336405,6.0,6.0,-0.05357142857142857,-0.05357142857142857,0
Liechtenstein,Iceland,1,135.0,-0.5,-0.5,1.5,1.5,-0.0125,-31.0,-31.0,0.0,0.0,0
Luxembourg,Portugal,1,83.0,-4.0,-4.0,0.0,0.0,-0.020202020202020204,-144.0,-144.0,0.0033670033670033656,0.0033670033670033656,0
Mexico,Jamaica,1,-49.0,2.0,2.0,-0.5,-0.5,0.014388489208633094,35.0,35.0,0.016775041505257333,0.016775041505257333,0
Northern Ireland,Finland,1,3.0,1.6666666666666667,1.6666666666666667,-2.0,-2.0,0.002812006319115325,161.0,161.0,0.014218009478672985,0.014218009478672985,0
Slovakia,Bosnia and Herzegovina,0,-3.0,-3.0,-3.0,0.0,0.0,-0.047619047619047616,29.0,29.0,-0.03674948240165631,-0.03674948240165631,0
Greece,Lithuania,1,-93.0,3.0,3.0,-2.0,-2.0,0.015,171.0,171.0,0.015,0.015,1
North Macedonia,Faroe Islands,0,-58.0,1.0,1.0,0.0,0.0,0.006228921467410008,-7.0,-7.0,0.012216945419505815,0.012216945419505815,1
Guinea-Bissau,Nigeria,1,83.0,1.0,1.0,-1.0,-1.0,0.02857142857142857,-83.0,-83.0,0.08571428571428572,0.08571428571428572,0
Angola,Ghana,1,59.0,-1.0,-1.0,1.0,1.0,-0.008547008547008548,-59.0,-59.0,-0.02564102564102564,-0.02564102564102564,0
Niger,Algeria,1,82.0,-1.0,-1.0,1.0,1.0,0.00860655737704918,-82.0,-82.0,-0.02459016393442623,-0.02459016393442623,0
Netherlands,Gibraltar,0,-194.0,0.0,0.0,1.0,1.0,0.0,-48.0,-48.0,0.0,0.0,0
Sudan,Gabon,0,49.0,-1.0,-1.0,1.0,1.0,-0.0078125,-49.0,-49.0,-0.0234375,-0.0234375,0
Ethiopia,Guinea,1,55.0,-1.5,-1.5,1.0,1.0,-0.00994729907773386,-28.0,-28.0,-0.010790225325293556,-0.010790225325293556,0
Central African Republic,Madagascar,0,30.0,3.0,3.0,-3.0,-3.0,0.029411764705882353,-30.0,-30.0,0.029411764705882353,0.029411764705882353,0
Republic of Ireland,France,1,45.0,-1.0,-1.0,2.0,2.0,-0.644110275689223,127.0,127.0,-0.4774436090225564,-0.4774436090225564,0
United States,El Salvador,0,-61.0,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0365296803652968,-8.0,-8.0,0.02538818995806415,0.02538818995806415,0
Sweden,Azerbaijan,0,-98.0,0.33333333333333326,0.33333333333333326,-2.666666666666667,-2.666666666666667,0.0031085604973696765,7.0,7.0,0.03373015873015873,0.03373015873015873,0
Hungary,Bulgaria,0,-35.0,1.0,1.0,-1.0,-1.0,0.009174311926605505,40.0,40.0,0.027522935779816515,0.027522935779816515,0
Montenegro,Serbia,1,40.0,-1.0,-1.0,-0.5,-0.5,-0.011393199964115907,-7.5,-7.5,-0.08354776092452149,-0.08354776092452149,0
Austria,Estonia,0,-75.0,3.5,3.5,0.5,0.5,0.02218828602227812,75.0,75.0,-0.0019923258559622174,-0.0019923258559622174,0
Moldova,Czech Republic,1,136.0,-2.0,-2.0,0.0,0.0,-0.12823355506282336,101.0,101.0,-0.12823355506282336,-0.12823355506282336,0
Saint Vincent and the Grenadines,Bahamas,1,-25.0,1.0,1.0,1.0,1.0,0.007042253521126761,38.0,38.0,0.0,0.0,0
