date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_home,total_points_home,rank_away,total_points_away
2023-01-09,Sweden,Finland,2.0,0.0,Friendly,Faro-Loulé,Portugal,True,23.0,1558.0,56.0,1406.0
2023-01-09,Oman,Yemen,3.0,2.0,Gulf Cup,Basra,Iraq,True,75.0,1321.0,154.0,1024.0
2023-01-09,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Basra,Iraq,False,68.0,1342.0,49.0,1438.0
2023-01-09,Vietnam,Indonesia,2.0,0.0,AFF Championship,Hanoi,Vietnam,False,96.0,1229.0,151.0,1034.0
2023-01-10,United Arab Emirates,Kuwait,0.0,1.0,Gulf Cup,Basra,Iraq,True,70.0,1338.0,148.0,1057.0
2023-01-10,Qatar,Bahrain,1.0,2.0,Gulf Cup,Basra,Iraq,True,60.0,1394.0,85.0,1280.0
2023-01-10,Thailand,Malaysia,3.0,0.0,AFF Championship,Pathum Thani,Thailand,False,111.0,1173.0,145.0,1067.0
2023-01-12,Finland,Estonia,0.0,1.0,Friendly,Albufeira,Portugal,True,56.0,1406.0,109.0,1186.0
2023-01-12,Sweden,Iceland,2.0,1.0,Friendly,Faro-Loulé,Portugal,True,23.0,1558.0,63.0,1380.0
2023-01-12,Iraq,Yemen,5.0,0.0,Gulf Cup,Basra,Iraq,False,68.0,1342.0,154.0,1024.0
2023-01-12,Saudi Arabia,Oman,1.0,2.0,Gulf Cup,Basra,Iraq,True,49.0,1438.0,75.0,1321.0
2023-01-13,Qatar,United Arab Emirates,1.0,1.0,Gulf Cup,Basra,Iraq,True,60.0,1394.0,70.0,1338.0
2023-01-13,Vietnam,Thailand,2.0,2.0,AFF Championship,Hanoi,Vietnam,False,96.0,1229.0,111.0,1173.0
2023-01-13,Bahrain,Kuwait,1.0,1.0,Gulf Cup,Basra,Iraq,True,85.0,1280.0,148.0,1057.0
2023-01-16,Iraq,Qatar,2.0,1.0,Gulf Cup,Basra,Iraq,False,68.0,1342.0,60.0,1394.0
2023-01-16,Bahrain,Oman,0.0,1.0,Gulf Cup,Basra,Iraq,True,85.0,1280.0,75.0,1321.0
2023-01-16,Thailand,Vietnam,1.0,0.0,AFF Championship,Pathum Thani,Thailand,False,111.0,1173.0,96.0,1229.0
2023-01-19,Iraq,Oman,3.0,2.0,Gulf Cup,Basra,Iraq,False,68.0,1342.0,75.0,1321.0
2023-01-25,United States,Serbia,1.0,2.0,Friendly,Los Angeles,United States,False,13.0,1653.0,29.0,1526.0
2023-01-28,United States,Colombia,0.0,0.0,Friendly,Carson,United States,False,13.0,1653.0,17.0,1613.0
2023-02-22,Grenada,Barbados,1.0,1.0,Friendly,Sauteurs,Grenada,False,173.0,964.0,166.0,982.0
2023-02-26,Grenada,Barbados,2.0,2.0,Friendly,St. George's,Grenada,False,173.0,964.0,166.0,982.0
2023-03-03,Grenada,Saint Lucia,1.0,2.0,Friendly,St. George's,Grenada,False,173.0,964.0,172.0,965.0
2023-03-05,Grenada,Saint Lucia,2.0,0.0,Friendly,Gouyave,Grenada,False,173.0,964.0,172.0,965.0
2023-03-11,Jamaica,Trinidad and Tobago,0.0,1.0,Friendly,Montego Bay,Jamaica,False,64.0,1379.0,104.0,1195.0
2023-03-12,Guatemala,Panama,1.0,1.0,Friendly,San Jose,United States,True,119.0,1158.0,61.0,1392.0
2023-03-14,Jamaica,Trinidad and Tobago,0.0,0.0,Friendly,Kingston,Jamaica,False,64.0,1379.0,104.0,1195.0
2023-03-15,Bangladesh,Malawi,1.0,1.0,Friendly,Medina,Saudi Arabia,True,192.0,884.0,124.0,1145.0
2023-03-19,Ethiopia,Rwanda,1.0,0.0,Friendly,Adama,Ethiopia,False,138.0,1091.0,137.0,1094.0
2023-03-20,Fiji,Vanuatu,1.0,2.0,Friendly,Lautoka,Fiji,False,163.0,989.0,164.0,986.0
2023-03-21,Maldives,Pakistan,1.0,0.0,Friendly,Laamu,Maldives,False,156.0,1021.0,195.0,865.0
2023-03-21,Tahiti,New Caledonia,0.0,2.0,Friendly,Pirae,Tahiti,False,162.0,995.0,161.0,996.0
2023-03-22,Honduras,El Salvador,1.0,0.0,Friendly,Los Angeles,United States,True,81.0,1301.0,74.0,1327.0
2023-03-22,India,Myanmar,1.0,0.0,Tri Nation Tournament,Imphal,India,False,106.0,1192.0,159.0,1006.0
2023-03-22,Nepal,Laos,2.0,0.0,Tri Nation Tournament,Kathmandu,Nepal,False,175.0,957.0,187.0,906.0
2023-03-22,Republic of Ireland,Latvia,3.0,2.0,Friendly,Dublin,Republic of Ireland,False,48.0,1439.0,133.0,1117.0
2023-03-22,Benin,Rwanda,1.0,1.0,African Cup of Nations qualification,Cotonou,Benin,False,91.0,1247.0,137.0,1094.0
2023-03-23,Zambia,Lesotho,3.0,1.0,African Cup of Nations qualification,Ndola,Zambia,False,88.0,1265.0,147.0,1061.0
2023-03-23,Solomon Islands,Vanuatu,2.0,0.0,Friendly,Lautoka,Fiji,True,136.0,1096.0,164.0,986.0
2023-03-23,Algeria,Niger,2.0,1.0,African Cup of Nations qualification,Algiers,Algeria,False,40.0,1487.0,122.0,1149.0
2023-03-23,Ghana,Angola,1.0,0.0,African Cup of Nations qualification,Kumasi,Ghana,False,58.0,1400.0,117.0,1159.0
2023-03-23,Madagascar,Central African Republic,0.0,3.0,African Cup of Nations qualification,Antananarivo,Madagascar,False,102.0,1201.0,132.0,1117.0
2023-03-23,Iran,Russia,1.0,1.0,Friendly,Tehran,Iran,False,24.0,1552.0,37.0,1491.0
2023-03-23,Malaysia,Turkmenistan,1.0,0.0,Friendly,Johor Bahru,Malaysia,False,145.0,1067.0,135.0,1100.0
