date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-01-09,Sweden,2.0,0.0,23.0,56.0,1558.0,0,-33.0,0.05357142857142857,3
2023-01-09,Oman,3.0,2.0,75.0,154.0,1321.0,0,-79.0,0.01948051948051948,3
2023-01-09,Iraq,2.0,0.0,68.0,49.0,1342.0,0,19.0,0.061224489795918366,3
2023-01-09,Vietnam,2.0,0.0,96.0,151.0,1229.0,0,-55.0,0.019867549668874173,3
2023-01-10,United Arab Emirates,0.0,1.0,70.0,148.0,1338.0,1,-78.0,0.0,0
2023-01-10,Qatar,1.0,2.0,60.0,85.0,1394.0,1,-25.0,0.0,0
2023-01-10,Thailand,3.0,0.0,111.0,145.0,1173.0,0,-34.0,0.020689655172413793,3
2023-01-12,Finland,0.0,1.0,56.0,109.0,1406.0,1,-53.0,0.0,0
2023-01-12,Sweden,2.0,1.0,23.0,63.0,1558.0,0,-40.0,0.047619047619047616,3
2023-01-12,Iraq,5.0,0.0,68.0,154.0,1342.0,0,-86.0,0.01948051948051948,3
2023-01-12,Saudi Arabia,1.0,2.0,49.0,75.0,1438.0,1,-26.0,0.0,0
2023-01-13,Qatar,1.0,1.0,60.0,70.0,1394.0,2,-10.0,0.014285714285714285,1
2023-01-13,Vietnam,2.0,2.0,96.0,111.0,1229.0,2,-15.0,0.009009009009009009,1
2023-01-13,Bahrain,1.0,1.0,85.0,148.0,1280.0,2,-63.0,0.006756756756756757,1
2023-01-16,Iraq,2.0,1.0,68.0,60.0,1342.0,0,8.0,0.05,3
2023-01-16,Bahrain,0.0,1.0,85.0,75.0,1280.0,1,10.0,0.0,0
2023-01-16,Thailand,1.0,0.0,111.0,96.0,1173.0,0,15.0,0.03125,3
2023-01-19,Iraq,3.0,2.0,68.0,75.0,1342.0,0,-7.0,0.04,3
2023-01-25,United States,1.0,2.0,13.0,29.0,1653.0,1,-16.0,0.0,0
2023-01-28,United States,0.0,0.0,13.0,17.0,1653.0,2,-4.0,0.058823529411764705,1
2023-02-22,Grenada,1.0,1.0,173.0,166.0,964.0,2,7.0,0.006024096385542169,1
2023-02-26,Grenada,2.0,2.0,173.0,166.0,964.0,2,7.0,0.006024096385542169,1
2023-03-03,Grenada,1.0,2.0,173.0,172.0,964.0,1,1.0,0.0,0
2023-03-05,Grenada,2.0,0.0,173.0,172.0,964.0,0,1.0,0.01744186046511628,3
2023-03-11,Jamaica,0.0,1.0,64.0,104.0,1379.0,1,-40.0,0.0,0
2023-03-12,Guatemala,1.0,1.0,119.0,61.0,1158.0,2,58.0,0.01639344262295082,1
